Grievance,RepliedGrievance
"Dear Sir/Madam,

My form are not able to lock so please solv my problem as soon as possible",Kindly verify/check after 1:00 PM
"Payment has been done through UPI, but it is still pending.",Your payment is successful kindly check
"Two time payment debit my account, please return extra payment my account",we will resolve it and give you your money back
Every thing filled but not lock,Please click on save&next button and check once still have any problem provide screenshot
Fee payment of Rs. 102.36 done but status not reflected. its still pending. Kindly update. PFA payment screenshot.,please check after 4 hour
Payment is sucsecefully but dose not detect,please check after 4 hour
WHY I AM NOT GETTING Payment option please check,Refresh website and check once still facing problem let us know
WHY I AM NOT GETTING Payment option please check,Kindly verify/check after 1:00 PM still facing any problem provide screenshot
"I have made the payment on 26-05-2025 12:59pm but after validating payment it is showing as ""Payment is Pending"". Please resolve the issue. Payment Screenshot is attached.",please check after 4 hour
"part 2 form is not available for filling, part 1 is filled",Kindly verify/check after 1:00 PM
PAYMENT PAGE DOES NOT OPEN,please refresh the page and check again
processing fees has payed but not showing,please check after 4 hour
Money has been debited from my bank amount yet but the site is not showing any receipt of payment,please check after 4 hour
"Payment is credited to board account but form status is is incomplete help me
Upi Tran id 514613997514",You have to lock first form
NOT ABLE TO LOCK MY PART ONE FORM.,Kindly verify/check after 1:00 PM
"I have paid the fee, however even after 30 mins payment is still pending",please check after 4 hour
Done payment through Google pay UPI ID but payment not success,please check after 4 hour
"AMOUNT DEDUCTED BUT STILL PAYMENT NOT REFLECTING ON WEBSITE
I AM ATTACHING GOOGLE PAY RECEIPT",please check after 4 hour
The registration details are filled and locked however the form isn't letting us complete the locking of part one as it says registration details incomplete. They are in grey and we are unable to edit this section,"Our team is working on that, 
Kindly verify/check after sometime still facing any problem let me know"
"I have completed all the mandatory registration fields, but I have not locked the application form yet. show ""Missing sections: Registration Details""",Kindly verify/check after 1:00 PM
"Even after 30 mins payment still showing incomplete, however it's already paid",please check after 4 hour
Even after waiting for 30mins the payment confirmation is not showing on portal. please see attached is already paid. Please attached payment confirmation with Application id: 151377849320 for Om Hitesh Shah. Thanks.,please check after 4 hour
"I HAVE MADE PAYMENT BUT IT IS NOT REFLECTING OF WEBSITE 
IAM ATTACHING THE GOOGLE PAY RECEIPT",please check after 4 hour
Admission Processing Fee is already paid still not reflecting - gpay screenshot is also attached for your reference,please check after 4 hour
"I have filled all mandatory fields marked with * and made payment too. 
I am not able to lock form, it says ""Registration Details"" incomplete.",Kindly verify/check after 1:00 PM
